index,Players,Year,Matches,Runs,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
760,Hardik Pandya,2017,17,250,35.71,35*,156.25,9,0,11,20
761,Krunal Pandya,2017,13,243,34.71,47,135.75,4,0,24,7
762,Dwayne Smith,2017,12,239,21.72,74,153.20,1,2,32,8
763,Wriddhiman Saha,2017,14,234,23.40,93*,125.13,1,1,20,8
764,Manan Vohra,2017,11,229,25.44,95,144.02,0,1,23,9
765,Axar Patel,2017,14,227,28.37,44,140.12,5,0,11,11
766,Sunil Narine,2017,16,224,17.23,54,172.30,1,1,34,10
767,AB de Villiers,2017,9,216,27.00,89*,132.51,1,1,12,16
768,Chris Gayle,2017,9,200,22.22,77,122.69,0,1,15,14
769,Mandeep Singh,2017,11,188,18.80,52,106.21,0,1,21,4
770,Ravindra Jadeja,2017,12,158,39.50,28,139.82,6,0,13,4
771,Chris Morris,2017,9,154,30.80,52*,163.82,4,1,15,6
772,Travis Head,2017,7,151,30.20,75*,139.81,2,1,9,6
773,Pawan Negi,2017,12,144,18.00,35,129.72,2,0,10,7
774,Yusuf Pathan,2017,15,143,17.87,59,124.34,3,1,9,6
775,Corey Anderson,2017,11,142,20.28,41*,115.44,4,0,8,9
776,Sam Billings,2017,6,138,23.00,55,132.69,0,1,19,1
777,Lendl Simmons,2017,7,137,19.57,66,122.32,0,2,10,8
778,Martin Guptill,2017,7,132,22.00,50*,150.00,1,1,17,5
779,Colin de Grandhomme,2017,12,126,15.75,36,136.95,1,0,10,6
780,Suryakumar Yadav,2017,10,105,17.50,31,119.31,1,0,8,3
781,Vijay Shankar,2017,4,101,50.50,63*,134.66,2,1,12,1
782,Ambati Rayudu,2017,5,91,18.20,63,116.66,0,1,7,3
783,David Miller,2017,5,83,27.66,30*,103.75,1,0,4,4
784,Dan Christian,2017,13,79,15.80,17*,161.22,4,0,5,5
785,Naman Ojha,2017,14,79,19.75,34,121.53,1,0,2,3
786,Stuart Binny,2017,8,78,15.60,18*,102.63,2,0,6,3
787,Deepak Hooda,2017,10,78,26.00,19*,150.00,3,0,5,4
788,Pat Cummins,2017,12,77,15.40,24,145.28,4,0,5,4
789,Shane Watson,2017,8,71,11.83,24,91.02,1,0,6,1
790,Eoin Morgan,2017,4,65,16.25,26,104.83,0,0,6,2
791,Jason Roy,2017,3,59,29.50,31,147.50,1,0,9,1
792,Kagiso Rabada,2017,6,55,18.33,44,85.93,0,0,5,1
793,James Faulkner,2017,8,54,13.50,21,94.73,2,0,4,0
794,Andrew Tye,2017,6,53,26.50,25,176.66,1,0,4,3
795,Saurabh Tiwary,2017,1,52,52.00,52,120.93,0,1,9,0
796,Ben Cutting,2017,4,51,25.50,20,196.15,1,0,5,3
797,Mohit Sharma,2017,14,51,8.50,13,102.00,1,0,3,1
798,Karn Sharma,2017,9,49,8.16,19,119.51,0,0,5,2
799,Amit Mishra,2017,14,49,49.00,13*,94.23,5,0,2,2
800,Chris Woakes,2017,13,46,11.50,18,97.87,3,0,4,1
801,Sheldon Jackson,2017,4,38,19.00,16,122.58,1,0,5,0
802,Mohammad Shami,2017,8,36,9.00,21,150.00,2,0,4,2
803,Ishank Jaggi,2017,2,33,33.00,28,84.61,1,0,3,0
804,Angelo Mathews,2017,3,32,16.00,31,118.51,0,0,2,1
805,Sreenath Aravind,2017,10,32,8.00,9,80.00,4,0,2,0
806,Bipul Sharma,2017,7,31,31.00,21*,129.16,2,0,2,1
807,Marlon Samuels,2017,5,29,7.25,27,93.54,0,0,1,2
808,Basil Thampi,2017,12,28,0.00,13*,100.00,5,0,1,1
809,Mayank Agarwal,2017,3,26,8.66,20,96.29,0,0,3,0
810,Ankit Sharma,2017,1,25,25.00,25,166.66,0,0,2,1
811,Aniket Choudhary,2017,5,25,25.00,15*,125.00,2,0,1,1
812,Mitchell Johnson,2017,5,20,0.00,13*,117.64,3,0,1,1
813,Kuldeep Yadav,2017,12,20,10.00,16,90.90,0,0,2,0
814,Rahul Tewatia,2017,3,19,19.00,15*,172.72,1,0,4,0
815,Vishnu Vinod,2017,3,19,6.33,9,73.07,0,0,1,1
816,Aditya Tare,2017,3,18,6.00,18,78.26,0,0,3,0
817,Marcus Stoinis,2017,5,17,5.66,9,70.83,0,0,1,0
818,Rajat Bhatia,2017,3,16,16.00,16,94.11,1,0,0,1
819,Harbhajan Singh,2017,11,16,8.00,7*,100.00,5,0,0,1
820,Mitchell McClenaghan,2017,14,16,4.00,12,106.66,3,0,0,1
821,Jasprit Bumrah,2017,16,16,16.00,16*,133.33,1,0,0,1
822,Anureet Singh,2017,1,15,15.00,15,125.00,0,0,2,0
823,Sachin Baby,2017,3,15,5.00,12,100.00,0,0,2,0
824,Deepak Chahar,2017,3,14,14.00,14,233.33,0,0,0,2
825,Nathan Coulter-Nile,2017,8,14,4.66,6,116.66,0,0,0,2
826,Samuel Badree,2017,7,13,2.60,8,56.52,0,0,0,0
827,Yuzvendra Chahal,2017,13,13,4.33,4*,50.00,3,0,0,0
828,Ankit Bawne,2017,1,12,0.00,12*,100.00,1,0,1,0
829,Carlos Brathwaite,2017,2,12,6.00,11,80.00,0,0,2,0
830,Swapnil Singh,2017,4,12,6.00,10,63.15,0,0,0,0
831,Rashid Khan,2017,14,11,5.50,6*,122.22,1,0,0,1
832,Umesh Yadav,2017,14,10,0.00,4*,76.92,4,0,0,0
833,Washington Sundar,2017,11,9,9.00,5*,75.00,4,0,0,0
834,Faf du Plessis,2017,2,8,8.00,8,114.28,0,0,1,0
835,Tymal Mills,2017,5,8,2.66,6,72.72,0,0,0,1
836,Ishant Sharma,2017,6,8,4.00,5*,66.66,1,0,1,0
837,Praveen Kumar,2017,6,8,8.00,7*,88.88,1,0,0,0
838,Ashok Dinda,2017,3,7,7.00,7,100.00,0,0,1,0
839,Tim Southee,2017,3,7,7.00,7,233.33,0,0,0,1
840,Adam Milne,2017,4,7,3.50,5,58.33,1,0,0,0
841,Ankit Soni,2017,7,7,3.50,7*,77.77,1,0,0,1
842,Lasith Malinga,2017,12,7,0.00,7*,233.33,2,0,0,1
843,Sandeep Sharma,2017,13,7,0.00,5*,116.66,4,0,0,0
844,Darren Bravo,2017,1,6,0.00,6*,120.00,1,0,1,0
845,Iqbal Abdulla,2017,2,5,0.00,5*,71.42,1,0,0,0
846,Adam Zampa,2017,6,5,5.00,5,71.42,0,0,1,0
847,Trent Boult,2017,6,5,0.00,5*,62.50,1,0,0,0
848,Ankit Rajpoot,2017,5,4,4.00,4,57.14,0,0,1,0
849,Varun Aaron,2017,6,4,4.00,4,40.00,1,0,0,0
850,Zaheer Khan,2017,11,4,4.00,2,30.76,2,0,0,0
851,Bhuvneshwar Kumar,2017,14,4,4.00,4*,100.00,1,0,0,0
852,Rahul Chahar,2017,3,3,0.00,3*,150.00,1,0,0,0
853,Irfan Pathan,2017,1,2,2.00,2,66.66,0,0,0,0
854,Mohammad Nabi,2017,3,2,2.00,2,66.66,0,0,0,0
855,KC Cariappa,2017,4,2,1.00,1,28.57,0,0,0,0
856,Pradeep Sangwan,2017,5,2,1.00,1*,50.00,1,0,0,0
857,Piyush Chawla,2017,6,2,2.00,2,33.33,0,0,0,0
858,Shahbaz Nadeem,2017,7,2,0.66,2,22.22,1,0,0,0
859,Jaydev Unadkat,2017,12,2,0.00,2*,40.00,2,0,0,0
860,Shakib Al Hasan,2017,1,1,0.00,1*,100.00,1,0,0,0
861,Lockie Ferguson,2017,4,1,0.00,1*,100.00,1,0,0,0
862,Dhawal Kulkarni,2017,6,1,1.00,1,50.00,0,0,0,0
863,Akshdeep Nath,2017,1,0,0.00,0*,0.00,0,0,0,0
864,Chris Jordan,2017,1,0,0.00,0*,0.00,0,0,0,0
865,Munaf Patel,2017,2,0,0.00,0*,0.00,0,0,0,0
866,Siddarth Kaul,2017,10,0,0.00,0*,0.00,1,0,0,0
867,Imran Tahir,2017,12,0,0.00,0*,0.00,1,0,0,0
868,Shardul Thakur,2017,12,0,0.00,0*,0.00,0,0,0,0
869,Virat Kohli,2016,16,973,81.08,113,152.03,4,7,83,38
870,David Warner,2016,17,848,60.57,93*,151.42,3,9,88,31
871,AB de Villiers,2016,16,687,52.84,129*,168.79,3,6,57,37
872,Gautam Gambhir,2016,15,501,38.53,90*,121.89,2,5,54,6
873,Shikhar Dhawan,2016,17,501,38.53,82*,116.78,4,4,51,8
874,Rohit Sharma,2016,14,489,44.45,85*,132.88,3,5,49,16
875,Ajinkya Rahane,2016,14,480,43.63,74,126.64,3,6,54,9
876,Murali Vijay,2016,14,453,34.84,89,124.45,1,5,50,10
877,Quinton de Kock,2016,13,445,37.08,108,136.08,1,3,52,13
878,Suresh Raina,2016,15,399,28.50,75,127.88,1,3,39,10
879,KL Rahul,2016,14,397,44.11,68*,146.49,3,4,37,16
880,Robin Uthappa,2016,15,394,26.26,72,136.33,0,3,45,8
881,Aaron Finch,2016,13,393,39.30,74,131.43,2,5,45,11
882,Yusuf Pathan,2016,15,361,72.20,63*,145.56,8,3,33,13
883,Karun Nair,2016,14,357,35.70,83*,120.20,2,3,40,6
884,Brendon McCullum,2016,16,354,22.12,60,135.11,0,1,38,16
885,Dinesh Karthik,2016,16,335,25.76,53,125.93,2,3,38,3
886,Ambati Rayudu,2016,13,334,30.36,65,120.14,1,2,28,12
887,Dwayne Smith,2016,12,324,29.45,73,146.60,1,3,35,16
888,Sanju Samson,2016,14,291,26.45,60,112.35,3,1,20,8
889,MS Dhoni,2016,14,284,40.57,64*,135.23,5,1,18,14
890,Steve Smith,2016,8,270,45.00,101,153.40,1,0,27,8
891,Wriddhiman Saha,2016,12,270,24.54,56,127.35,1,2,29,1
892,Jos Buttler,2016,14,255,23.18,41,138.58,3,0,23,11
893,Manish Pandey,2016,12,248,31.00,52,135.51,3,2,17,9
894,Krunal Pandya,2016,12,237,39.50,86,191.12,3,1,22,13
895,Yuvraj Singh,2016,10,236,26.22,44,131.84,1,0,22,13
896,Chris Gayle,2016,10,227,22.70,76,151.33,0,2,17,21
897,Kieron Pollard,2016,13,207,25.87,51*,143.75,4,1,11,16
898,Faf du Plessis,2016,6,206,34.33,69,127.16,0,2,17,9
899,Rishabh Pant,2016,10,198,24.75,69,130.26,2,1,19,6
900,Chris Morris,2016,12,195,65.00,82*,178.89,4,1,15,12
901,JP Duminy,2016,10,191,38.20,49*,122.43,3,0,13,3
902,Ravindra Jadeja,2016,15,191,21.22,36*,107.30,6,0,14,4
903,Andre Russell,2016,12,188,26.85,39*,164.91,1,0,10,15
904,Suryakumar Yadav,2016,15,182,26.00,60,127.27,4,1,18,5
905,Moises Henriques,2016,17,182,15.16,31*,115.18,3,0,15,6
906,Glenn Maxwell,2016,11,179,19.88,68,144.35,2,2,14,8
907,Shane Watson,2016,16,179,13.76,36,133.58,2,0,14,12
908,Parthiv Patel,2016,10,177,17.70,81,116.44,0,1,23,4
909,Saurabh Tiwary,2016,10,170,24.28,57,120.56,0,2,17,4
910,Manan Vohra,2016,7,161,23.00,51,122.90,0,1,19,3
911,David Miller,2016,14,161,16.10,31,122.90,3,0,11,4
912,Shaun Marsh,2016,6,159,31.80,56*,118.65,1,1,13,4
913,Hashim Amla,2016,6,157,26.16,96,131.93,0,1,20,4
914,Thisara Perera,2016,12,150,21.42,34,161.29,3,0,7,11
915,Marcus Stoinis,2016,7,146,36.50,52,135.18,1,1,13,4
916,Deepak Hooda,2016,17,144,10.28,34,119.00,1,0,9,5
917,Naman Ojha,2016,17,136,13.60,37,98.55,3,0,7,5
918,Usman Khawaja,2016,6,127,21.16,30,127.00,0,0,14,3
919,Kane Williamson,2016,6,124,20.66,50,101.63,0,1,14,0
920,Eoin Morgan,2016,7,123,24.60,51,117.14,1,1,8,4
921,Sachin Baby,2016,11,119,23.80,33,150.63,1,0,9,5
922,Shakib Al Hasan,2016,10,114,22.80,66*,107.54,2,1,7,5
923,Gurkeerat Mann Singh,2016,7,113,22.60,51,131.39,1,1,11,3
924,Axar Patel,2016,14,111,15.85,36*,144.15,3,0,4,8
925,Nitish Rana,2016,4,104,34.66,70,138.66,0,1,7,8
926,Dwayne Bravo,2016,15,99,12.37,22*,120.73,5,0,11,1
927,Harbhajan Singh,2016,14,92,30.66,45*,109.52,4,0,11,2
928,Sam Billings,2016,5,88,22.00,54,137.50,0,1,4,4
929,George Bailey,2016,6,84,21.00,34,85.71,1,0,9,2
930,Carlos Brathwaite,2016,8,83,13.83,34,218.42,0,0,6,8
931,James Faulkner,2016,7,77,25.66,32,130.50,2,0,7,0
932,Kevin Pietersen,2016,4,73,36.50,37,119.67,2,0,4,3
933,Sarfaraz Khan,2016,5,66,33.00,35*,212.90,2,0,7,4
934,Ben Cutting,2016,4,65,32.50,39*,191.17,2,0,4,6
935,Stuart Binny,2016,14,63,21.00,21,161.53,3,0,5,4
936,Martin Guptill,2016,3,57,19.00,48,103.63,0,0,3,3
937,Pawan Negi,2016,8,57,28.50,19*,96.61,4,0,2,3
938,Travis Head,2016,3,54,27.00,37,135.00,1,0,3,2
939,Bipul Sharma,2016,7,51,25.50,27*,204.00,2,0,1,5
940,Ashish Reddy,2016,4,47,23.50,32,162.06,1,0,2,4
941,Hardik Pandya,2016,11,44,6.28,9,69.84,2,0,4,0
942,Bhuvneshwar Kumar,2016,17,43,7.16,21,159.25,2,0,6,1
943,Kedar Jadhav,2016,4,42,0.00,25*,131.25,3,0,2,2
944,Ishan Kishan,2016,5,42,8.40,27,102.43,0,0,5,0
945,Ravichandran Ashwin,2016,14,41,20.50,29,107.89,4,0,3,1
946,Iqbal Abdulla,2016,8,37,0.00,33*,137.03,2,0,4,1
947,Karn Sharma,2016,5,36,0.00,26*,120.00,3,0,3,1
948,Rajat Bhatia,2016,10,34,34.00,21,170.00,5,0,1,2
949,Mitchell McClenaghan,2016,14,34,11.33,20,147.82,2,0,2,3
950,Mohit Sharma,2016,14,32,8.00,15,123.07,2,0,3,1
951,Colin Munro,2016,4,30,10.00,16,100.00,0,0,3,0
952,Shreyas Iyer,2016,6,30,5.00,19,69.76,0,0,2,1
953,Tim Southee,2016,11,30,10.00,25,157.89,1,0,1,2
954,Praveen Kumar,2016,16,28,7.00,15,103.70,3,0,4,0
955,Mayank Agarwal,2016,3,27,9.00,10,108.00,0,0,3,1
956,Piyush Chawla,2016,12,27,9.00,11,103.84,0,0,4,0
957,Chris Lynn,2016,2,25,25.00,15,113.63,1,0,0,1
958,Eklavya Dwivedi,2016,4,24,12.00,19,171.42,0,0,2,2
959,Rajagopal Sathish,2016,4,24,8.00,10,100.00,0,0,1,1
960,Nikhil Naik,2016,2,23,11.50,22,74.19,0,0,1,0
961,Dhawal Kulkarni,2016,14,23,11.50,6*,153.33,3,0,2,0
962,Jason Holder,2016,4,22,5.50,13,115.78,0,0,2,1
963,Akshdeep Nath,2016,4,20,6.66,12,74.07,0,0,1,0
964,Pradeep Sahu,2016,5,19,19.00,18*,146.15,1,0,1,1
965,Albie Morkel,2016,2,16,16.00,16,177.77,0,0,0,2
966,Rishi Dhawan,2016,2,14,0.00,11*,233.33,2,0,0,1
967,Farhaan Behardien,2016,3,14,7.00,9*,107.69,1,0,2,0
968,Vinay Kumar,2016,3,13,13.00,12,108.33,1,0,0,1
969,KC Cariappa,2016,5,13,13.00,12*,118.18,1,0,0,1
970,Kyle Abbott,2016,5,13,13.00,12*,162.50,2,0,0,1
971,Irfan Pathan,2016,4,11,3.66,7,84.61,0,0,0,0
972,Parveez Rasool,2016,4,10,10.00,10,111.11,0,0,1,0
973,Nathan Coulter-Nile,2016,4,9,0.00,7*,64.28,2,0,1,0
974,Umesh Yadav,2016,9,9,9.00,7*,180.00,1,0,0,1
975,Lendl Simmons,2016,1,8,8.00,8,100.00,0,0,0,1
976,Aditya Tare,2016,3,8,4.00,8,53.33,0,0,1,0
977,Jasprit Bumrah,2016,14,8,8.00,6,72.72,1,0,1,0
978,Sandeep Sharma,2016,14,8,0.00,5*,88.88,4,0,0,0
979,Mitchell Marsh,2016,3,7,7.00,7,63.63,0,0,0,0
980,Pravin Tambe,2016,7,7,0.00,7*,36.84,1,0,1,0
981,Sunil Narine,2016,11,7,7.00,4,53.84,3,0,0,0
982,Peter Handscomb,2016,2,6,6.00,6,50.00,0,0,0,0
983,Jayant Yadav,2016,5,6,3.00,5,60.00,0,0,0,0
984,Zaheer Khan,2016,12,6,3.00,4,46.15,0,0,1,0
985,David Wiese,2016,1,5,0.00,5*,125.00,1,0,0,0
986,Mitchell Johnson,2016,3,5,2.50,4,35.71,1,0,0,0
987,Imran Tahir,2016,4,5,5.00,5,71.42,0,0,1,0
988,Amit Mishra,2016,14,4,2.00,3,28.57,0,0,0,0
989,Barinder Sran,2016,14,4,0.00,2*,100.00,4,0,0,0
990,Ankit Sharma,2016,3,3,0.00,3*,100.00,1,0,0,0
991,Chris Jordan,2016,9,3,3.00,3,75.00,0,0,0,0
992,Shreyas Gopal,2016,1,2,2.00,2,12.50,0,0,0,0
993,Mohammad Shami,2016,8,2,0.00,2*,50.00,2,0,0,0
994,Dale Steyn,2016,1,1,1.00,1,50.00,0,0,0,0
995,Kane Richardson,2016,4,1,0.00,1*,100.00,1,0,0,0
996,Shahbaz Nadeem,2016,4,1,0.00,1*,20.00,1,0,0,0
997,Shadab Jakati,2016,6,1,0.00,1*,50.00,1,0,0,0
998,Ashish Nehra,2016,8,1,0.00,1*,100.00,2,0,0,0
999,Morne Morkel,2016,10,1,0.00,1*,100.00,2,0,0,0
1000,Swapnil Singh,2016,1,0,0.00,0*,0.00,0,0,0,0
1001,Unmukt Chand,2016,1,0,0.00,0*,0.00,0,0,0,0
1002,Adam Zampa,2016,5,0,0.00,0*,0.00,0,0,0,0
1003,Shivil Kaushik,2016,7,0,0.00,0*,0.00,1,0,0,0
1004,Murugan Ashwin,2016,10,0,0.00,0*,0.00,0,0,0,0
1005,David Warner,2015,14,562,43.23,91,156.54,1,7,65,21
1006,Lendl Simmons,2015,13,540,45.00,71,122.44,1,6,56,21
1007,Ajinkya Rahane,2015,14,540,49.09,91*,130.75,2,4,53,13
1008,AB de Villiers,2015,16,513,46.63,133*,175.08,3,2,60,22
1009,Virat Kohli,2015,16,505,45.90,82*,130.82,5,3,35,23
1010,Chris Gayle,2015,14,491,40.91,117,147.44,2,2,39,38
1011,Rohit Sharma,2015,16,482,34.42,98*,144.74,2,3,41,21
1012,Shreyas Iyer,2015,14,439,33.76,83,128.36,1,4,41,21
1013,Brendon McCullum,2015,14,436,33.53,100*,155.71,1,2,51,23
1014,Kieron Pollard,2015,16,419,38.09,70,163.67,3,2,28,28
1015,JP Duminy,2015,14,414,41.40,78*,131.42,3,4,27,20
1016,Dwayne Smith,2015,16,399,24.93,62,119.10,0,2,52,16
1017,Faf du Plessis,2015,17,380,29.23,55,125.00,2,1,37,5
1018,Suresh Raina,2015,17,374,24.93,62,123.02,2,2,31,16
1019,MS Dhoni,2015,17,372,31.00,53,121.96,5,1,27,17
1020,Robin Uthappa,2015,13,364,30.33,80*,131.40,1,1,42,7
1021,David Miller,2015,13,357,32.45,89*,134.21,2,2,21,21
1022,Shikhar Dhawan,2015,14,353,27.15,54,123.42,1,3,45,6
1023,Shane Watson,2015,10,347,43.37,104*,135.01,1,1,37,14
1024,Parthiv Patel,2015,14,339,26.07,59,137.80,1,2,47,5
1025,Gautam Gambhir,2015,13,327,25.15,60,117.62,0,3,41,4
1026,Andre Russell,2015,13,326,36.22,66,192.89,2,3,35,19
1027,Yusuf Pathan,2015,13,312,44.57,52,135.06,5,1,29,12
1028,Steve Smith,2015,14,293,26.63,79*,132.57,1,2,33,3
1029,Moises Henriques,2015,9,287,41.00,74*,136.01,2,2,19,13
1030,Ambati Rayudu,2015,15,281,31.22,53*,145.59,5,1,18,16
1031,George Bailey,2015,13,259,23.54,61*,136.31,2,2,22,7
1032,Murali Vijay,2015,11,251,22.81,39,110.08,0,0,27,8
1033,Wriddhiman Saha,2015,14,249,19.15,42,126.39,0,0,16,10
1034,Yuvraj Singh,2015,14,248,19.07,57,118.09,0,2,23,10
1035,Manish Pandey,2015,13,225,20.45,40,122.28,1,0,22,7
1036,Mayank Agarwal,2015,10,213,23.66,68,120.33,1,2,23,7
1037,Axar Patel,2015,14,206,22.88,40*,118.39,3,0,13,8
1038,Sanju Samson,2015,14,204,20.40,76,125.15,1,1,16,8
1039,Dwayne Bravo,2015,17,195,21.66,62*,131.75,5,1,22,5
1040,Kedar Jadhav,2015,14,189,23.62,63*,135.00,4,1,16,7
1041,Eoin Morgan,2015,9,187,23.37,63,123.84,1,1,11,11
1042,Karun Nair,2015,14,181,16.45,61,124.82,1,1,18,5
1043,Suryakumar Yadav,2015,13,157,17.44,46*,138.93,4,0,12,8
1044,Mandeep Singh,2015,14,157,22.42,54*,157.00,2,1,17,6
1045,Deepak Hooda,2015,14,151,16.77,54,158.94,0,1,6,11
1046,Ravi Bopara,2015,9,145,29.00,41,120.83,3,0,6,6
1047,Glenn Maxwell,2015,11,145,13.18,43,129.46,0,0,13,8
1048,Angelo Mathews,2015,11,144,20.57,28,138.46,3,0,12,6
1049,James Faulkner,2015,13,144,18.00,46,132.11,3,0,12,5
1050,KL Rahul,2015,9,142,28.40,44*,112.69,3,0,8,5
1051,Dinesh Karthik,2015,16,141,12.81,28,120.51,0,0,15,4
1052,Naman Ojha,2015,14,137,13.70,28,113.22,1,0,12,4
1053,Ravindra Jadeja,2015,17,132,18.85,24,104.76,5,0,7,3
1054,Quinton de Kock,2015,3,122,40.66,69,158.44,0,2,18,4
1055,David Wiese,2015,14,122,30.50,47*,141.86,3,0,12,4
1056,Harbhajan Singh,2015,15,117,16.71,64,160.27,3,1,9,9
1057,Pawan Negi,2015,10,116,14.50,36,158.90,1,0,10,5
1058,Corey Anderson,2015,4,114,38.00,55*,117.52,1,2,11,6
1059,Hardik Pandya,2015,9,112,22.40,61*,180.64,3,1,9,8
1060,Sarfaraz Khan,2015,13,111,27.75,45*,156.33,4,0,12,2
1061,Saurabh Tiwary,2015,7,109,0.00,28*,139.74,6,0,9,5
1062,Karn Sharma,2015,14,104,17.33,32,122.35,3,0,3,6
1063,Unmukt Chand,2015,6,102,20.40,58,122.89,0,1,13,2
1064,Virender Sehwag,2015,8,99,12.37,47,117.85,0,0,12,3
1065,Albie Morkel,2015,4,86,86.00,73*,132.30,2,1,9,2
1066,Manan Vohra,2015,7,82,11.71,39,101.23,0,0,4,5
1067,Shaun Marsh,2015,4,81,20.25,65,139.65,0,1,7,3
1068,Michael Hussey,2015,4,77,19.25,56,110.00,0,1,5,3
1069,Chris Morris,2015,11,76,38.00,34*,165.21,5,0,3,5
1070,Stuart Binny,2015,13,74,18.50,20,112.12,4,0,7,1
1071,Ashish Reddy,2015,6,73,24.33,22*,158.69,2,0,3,5
1072,Ryan ten Doeschate,2015,6,61,20.33,38*,135.55,2,0,4,3
1073,Manoj Tiwary,2015,5,57,28.50,32,101.78,1,0,8,1
1074,Piyush Chawla,2015,13,54,13.50,22,114.89,4,0,5,2
1075,Ravichandran Ashwin,2015,14,52,17.33,23,162.50,3,0,6,1
1076,Jagadeesha Suchith,2015,13,48,48.00,34*,150.00,5,0,4,2
1077,Hanuma Vihari,2015,5,39,9.75,16,111.42,0,0,6,0
1078,Manvinder Bisla,2015,2,37,18.50,20,123.33,0,0,6,1
1079,Shakib Al Hasan,2015,4,36,12.00,23,133.33,0,0,5,0
1080,Rishi Dhawan,2015,5,36,18.00,25*,109.09,3,0,2,2
1081,Gurkeerat Mann Singh,2015,5,35,7.00,15,89.74,0,0,3,1
1082,Kane Williamson,2015,2,31,31.00,26*,114.81,1,0,1,1
1083,Johan Botha,2015,4,31,10.33,17,206.66,0,0,5,1
1084,Mitchell Johnson,2015,9,31,7.75,13*,86.11,4,0,1,1
1085,Umesh Yadav,2015,12,29,29.00,24*,207.14,3,0,5,1
1086,Mohit Sharma,2015,16,28,9.33,21*,155.55,3,0,1,2
1087,Aaron Finch,2015,3,23,11.50,10*,69.69,1,0,4,0
1088,Iqbal Abdulla,2015,5,20,10.00,20,111.11,0,0,4,0
1089,Dale Steyn,2015,6,20,20.00,19*,153.84,2,0,3,0
1090,Nathan Coulter-Nile,2015,11,20,5.00,6,111.11,1,0,2,1
1091,Harshal Patel,2015,15,19,3.80,9*,158.33,2,0,0,2
1092,Anureet Singh,2015,14,18,6.00,10,58.06,3,0,0,1
1093,Praveen Kumar,2015,12,17,5.66,12,68.00,1,0,1,0
1094,Bhuvneshwar Kumar,2015,14,17,17.00,11*,170.00,2,0,2,1
1095,Sean Abbott,2015,2,15,7.50,14,115.38,0,0,1,1
1096,Aditya Tare,2015,2,14,7.00,7,82.35,0,0,1,0
1097,Rilee Rossouw,2015,2,14,7.00,14,140.00,0,0,1,1
1098,Darren Sammy,2015,2,13,6.50,7,72.22,0,0,0,0
1099,Tim Southee,2015,7,13,13.00,7*,144.44,2,0,1,0
1100,Mitchell McClenaghan,2015,12,13,13.00,12*,216.66,2,0,0,2
1101,Thisara Perera,2015,2,12,6.00,9,80.00,0,0,0,1
1102,Karanveer Singh,2015,4,11,11.00,5*,68.75,2,0,1,0
1103,Mitchell Starc,2015,13,11,11.00,9*,78.57,2,0,1,0
1104,Abu Nechim,2015,3,10,10.00,5*,200.00,2,0,2,0
1105,Sandeep Sharma,2015,14,9,9.00,7,64.28,2,0,1,0
1106,Amit Mishra,2015,12,8,4.00,4,66.66,2,0,0,0
1107,Shardul Thakur,2015,1,7,0.00,7*,116.66,1,0,1,0
1108,Ankit Sharma,2015,4,7,7.00,7*,116.66,1,0,1,0
1109,Brad Hogg,2015,6,7,7.00,5,116.66,1,0,0,0
1110,Azhar Mahmood,2015,1,6,6.00,6,85.71,0,0,1,0
1111,Varun Aaron,2015,6,6,6.00,6,200.00,0,0,0,1
1112,Lasith Malinga,2015,15,6,0.00,6*,60.00,1,0,1,0
1113,Imran Tahir,2015,10,5,5.00,3*,83.33,1,0,0,0
1114,Chidhambaram Gautam,2015,1,4,4.00,4,80.00,0,0,0,0
1115,Nic Maddinson,2015,1,4,4.00,4,57.14,0,0,1,0
1116,Morne Morkel,2015,7,4,0.00,4*,133.33,1,0,0,0
1117,Dhawal Kulkarni,2015,11,4,2.00,3,36.36,0,0,0,0
1118,Pravin Tambe,2015,10,3,0.00,2*,60.00,2,0,0,0
1119,Parveez Rasool,2015,2,2,0.00,2*,100.00,1,0,0,0
1120,Ronit More,2015,2,2,0.00,2*,100.00,1,0,0,0
1121,Shahbaz Nadeem,2015,4,2,2.00,2,28.57,0,0,0,0
1122,Juan Theron,2015,1,1,0.00,1*,100.00,1,0,0,0
1123,Shreyas Gopal,2015,1,1,0.00,1*,100.00,1,0,0,0
1124,Beuran Hendricks,2015,4,1,0.00,1*,50.00,2,0,0,0
1125,Bipul Sharma,2015,4,1,1.00,1,50.00,0,0,0,0
1126,Domnic Joseph,2015,6,1,1.00,1,33.33,1,0,0,0
1127,Yuzvendra Chahal,2015,15,1,0.00,1*,100.00,2,0,0,0
1128,Ashish Nehra,2015,16,1,1.00,1*,14.28,3,0,0,0
1129,Rajat Bhatia,2015,2,0,0.00,0*,0.00,0,0,0,0
1130,Pat Cummins,2015,3,0,0.00,0*,0.00,0,0,0,0
1131,Sreenath Aravind,2015,5,0,0.00,0*,0.00,1,0,0,0
1132,Sunil Narine,2015,8,0,0.00,0*,0.00,1,0,0,0
1133,Vinay Kumar,2015,13,0,0.00,0*,0.00,2,0,0,0
1134,Robin Uthappa,2014,16,660,44.00,83*,137.78,1,5,74,18
1135,Dwayne Smith,2014,16,566,35.37,79,136.05,0,5,50,34
1136,Glenn Maxwell,2014,16,552,34.50,95,187.75,0,4,48,36
1137,David Warner,2014,14,528,48.00,90,140.80,3,6,39,24
1138,Suresh Raina,2014,16,523,40.23,87,146.08,3,5,51,19
